
Frequency: 22050, Amplitude pozitiv: 0, Amplitude negativ: 0, .-<<||||   ;


Frequency: 1378, Amplitude pozitiv: 16, Amplitude negativ: 86, .-<<||||   16, -42, -123, -75, -1, -82, -138, -89, -116, -175, -152, -1, -64, -65, -88, -88, ;


Frequency: 232, Amplitude pozitiv: 144, Amplitude negativ: 134, .-<<||||   79, 109, 217, 35, 130, 231, 190, 159, 178, 104, 44, 131, 163, 289, 298, 220, 120, 122, 72, 43, 76, 1, 71, 69, 43, 155, 54, 99, 67, 203, 224, 133, 312, 199, 215, 226, 195, 153, 81, 183, 156, 156, 211, 140, 137, 272, 267, 179, 167, 90, 154, 76, 57, 99, 75, -56, -13, -76, -187, -89, -1, -83, -129, -215, -135, -103, -87, -27, -215, -151, -122, -129, -218, -186, -55, -67, -107, -73, -91, -138, -140, -255, -225, -206, -102, -135, -249, -161, -192, -174, -216, -235, -212, -78, -27, ;


Frequency: 1470, Amplitude pozitiv: 84, Amplitude negativ: 54, .-<<||||   46, 118, 97, 58, 92, 109, 70, 6, 103, 145, 65, 138, 52, -50, -59, ;


Frequency: 2756, Amplitude pozitiv: 121, Amplitude negativ: 77, .-<<||||   58, 185, -16, -126, -185, -119, -12, -7, ;


Frequency: 2450, Amplitude pozitiv: 75, Amplitude negativ: 23, .-<<||||   107, 34, 124, 27, 1, 106, 137, 64, -23, ;


Frequency: 7350, Amplitude pozitiv: 28, Amplitude negativ: 21, .-<<||||   35, 22, -21, ;


Frequency: 580, Amplitude pozitiv: 105, Amplitude negativ: 58, .-<<||||   82, 142, 119, 136, 94, 152, 118, 276, 220, 106, 190, 95, 118, 113, 1, 16, 74, 80, 64, 1, 39, 178, 132, 79, 165, 155, 77, 57, 105, 88, 87, 143, 44, 13, 134, 94, 0, -116, ;


Frequency: 2205, Amplitude pozitiv: 70, Amplitude negativ: 12, .-<<||||   53, 73, 51, 109, 72, 53, 82, 0, -23, -13, ;


Frequency: 7350, Amplitude pozitiv: 78, Amplitude negativ: 7, .-<<||||   97, 59, -7, ;


Frequency: 3675, Amplitude pozitiv: 84, Amplitude negativ: 66, .-<<||||   148, 142, 13, 49, 69, -66, ;


Frequency: 7350, Amplitude pozitiv: 103, Amplitude negativ: 9, .-<<||||   122, 84, -9, ;


Frequency: 4410, Amplitude pozitiv: 2, Amplitude negativ: 44, .-<<||||   2, -40, -58, -49, -30, ;


Frequency: 5512, Amplitude pozitiv: 33, Amplitude negativ: 50, .-<<||||   6, 60, -54, -46, ;


Frequency: 7350, Amplitude pozitiv: 50, Amplitude negativ: 103, .-<<||||   50, -86, -120, ;


