51,Red-To-Blue,info@red-to-blue.com,RO
52,Optimize,contact20101@optimaize.com,RO
53,FME,info@fme.ro,RO
54,QuickLeaf,hello@quickleaf.net,RO
55,Vallerry,hello@vallerry.com,RO
56,Core Recruit,office@core-recruit.ro,RO
57,Bbox,bbox@bbox.hu,HU
58,Sbp systems,sbp@sbpsystems.hu,HU
59,Otp mobil,hr@otpmobil.com,HU
60,Everit,info@everit.biz,HU
61,Prohuman,debrecen@prohuman.hu,HU
62,AIMotive,info@aimotive.com,HU
63,Telekont,telekont@telekont.hu,HU
64,IDBC,info@idbc.hu,HU
65,BECK AND PARTNERS,info@bap.hu,HU
66,ULYSSYS,allas@ulyssys.hu,HU
67,Nixtech,jobs@nixstech.com,HU
68,Stylers,stylers@stylers.hu,HU
69,DevPlant,timo@devplant.ro,RO
70,Ferendin,bm@ferendin.com,RO
71,TICKBIRD,hr@tickbird.com,RO
72,Berg Software,contact@berg-software.com,RO
73,CodeSpring,office@codespring.ro,RO
74,Streamaxia,contact@streamaxia.com,RO
75,Tora Trading Services,careers.romania@tora.com,RO
76,Bosch Romania,contact@ro.bosch.com,RO
77,Uniqa Romania,office.ussro@uniqa.at,RO
78,Ness Company,rotsr-marketing@ness.com,RO
79,IBM,info@ro.ibm.com,RO
80,Arrk Engeering,career_romania@arrk-engineering.com,HU
81,INFOBEST,recruiting@infobest.ro,RO
82,Edenred,edenred.romania@edenred.com,RO
83,Saguaro Techology,info@saguarotech.net,RO
84,RIA Solutions Group,contact@riasolutionsgroup.com,RO
85,Accenture Romania,romania.careers@accenture.com,RO
86,Atos Romania,hr.ro@atos.net,RO
87,Qubiz,apply@qubiz.com,RO
88,Evozon,hello@evozon.com,RO
89,ZF Romania,office.timisoara@zf.com,RO
90,Hella ,info@hella.com,RO
91,The Coders,hello@thecoders.ro,RO
92,Siemens,siemens.ro@siemens.com,RO
93,Incrys,office@incrys.com,RO
94,Axon soft,office@axonsoft.ro,RO
95,Alten Romania,OFFICE@ALTENROMANIA.RO,RO
96,Oradea Tech Club,info@oradeatechhub.ro,RO
97,Bright Entity,cristina.manaila@brightantity.com,RO
98,SCORPION SOFTWARE,office@scorpionsoftware.ro,RO
99,Seiteq,office@seiteq.com,EN
100,Var24,customers@var24.com,RO
